Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
FASTK	FAST	ENSG00000164896	"Fas activated serine/threonine kinase"	Q14296	7	151076624-151080866	"Enzymes, Predicted intracellular proteins"	Apoptosis	"Kinase, RNA-binding, Serine/threonine-protein kinase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA031621, CAB032539"	Approved		Supported	"Nuclear speckles,Mitochondria"			NA	NA			"Cluster 29: Non-specific - Unknown function"	"Cluster 54: Non-specific - Basic cellular processes"	"Cluster 32: Cerebral cortex - Mixed function"	"Cluster 39: Non-specific - Transcription"	"Cluster 39: Non-specific - Basic cellular processes"	7	Mitochondria	"Nuclear speckles"	"CAB032539: AB_2101115, HPA031621: AB_10611966"	"unprognostic (3.51e-1)"	"unprognostic (9.04e-2)"	"unprognostic (5.70e-2)"	"unprognostic (2.46e-1)"	"unprognostic (4.42e-2)"	"unprognostic (1.04e-1)"	"unprognostic (7.91e-3)"	"unprognostic (9.63e-2)"	"unprognostic (7.08e-2)"	"unprognostic (1.62e-2)"	"unprognostic (1.43e-3)"	"unprognostic (6.68e-2)"	"unprognostic (1.20e-2)"	"unprognostic (9.08e-3)"	"unprognostic (2.29e-2)"	"unprognostic (1.14e-2)"	"unprognostic (6.00e-3)"	"unprognostic (4.70e-3)"	"unprognostic (2.28e-1)"	"unprognostic (5.54e-2)"	"unprognostic (8.84e-2)"	"unprognostic (2.05e-3)"	"unprognostic (3.39e-3)"	"unprognostic (3.90e-2)"	"unprognostic (3.55e-3)"	"unprognostic (2.82e-1)"	"unprognostic (5.79e-2)"	"unprognostic (2.46e-2)"	"unprognostic (3.46e-2)"	"unprognostic (2.35e-2)"	"unprognostic (6.92e-2)"
FBXL4	"FBL4, FBL5"	ENSG00000112234	"F-box and leucine rich repeat protein 4"	Q9UKA2	6	98868535-98948006	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Ubl conjugation pathway"		"Disease variant, Primary mitochondrial disease"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Oligodendrocyte precursor cells: 91.0;Oligodendrocytes: 87.8"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adrenal gland - Adrenal cortex cells, Liver - Hepatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA029140, CAB033362"	Approved		Supported	"Nuclear speckles"			NA	NA			"Cluster 32: Basophils - Transcription"	"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 25: Non-specific - Transcription"	"Cluster 28: Non-specific - Nuclear processes"	"Cluster 76: Oligodendrocyte precursor - Unknown function"	13	"Nuclear speckles"		"CAB033362: AB_2103974, HPA029140: AB_10611967"	"unprognostic (1.66e-1)"	"unprognostic (2.60e-2)"	"unprognostic (2.68e-2)"	"unprognostic (5.13e-3)"	"unprognostic (2.54e-1)"	"unprognostic (2.33e-2)"	"unprognostic (9.27e-2)"	"unprognostic (1.56e-1)"	"unprognostic (4.13e-1)"	"unprognostic (9.15e-5)"	"unprognostic (6.49e-7)"	"unprognostic (1.67e-4)"	"unprognostic (7.62e-2)"	"unprognostic (2.54e-1)"	"unprognostic (5.58e-1)"	"unprognostic (2.37e-1)"	"unprognostic (2.85e-2)"	"unprognostic (1.51e-1)"	"unprognostic (1.49e-1)"	"unprognostic (8.75e-2)"	"unprognostic (7.08e-2)"	"unprognostic (1.91e-1)"	"unprognostic (7.28e-2)"	"unprognostic (7.17e-2)"	"unprognostic (5.43e-4)"	"unprognostic (2.28e-1)"	"unprognostic (3.86e-1)"	"unprognostic (2.04e-1)"	"unprognostic (2.74e-1)"	"unprognostic (1.63e-1)"	"unprognostic (1.59e-1)"
FBXO34	"Fbx34, FLJ20725"	ENSG00000178974	"F-box protein 34"	Q9NWN3	14	55271344-55370053	"Predicted intracellular proteins"	"Ubl conjugation pathway"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Late spermatids: 265.7"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA052592	Uncertain		Approved	"Nuclear speckles,Cytosol"			NA	NA			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 19: Non-specific - Basic cellular processes"	"Cluster 51: Neurons - Mixed function"	"Cluster 30: Non-specific - Gene expression regulation"	"Cluster 78: NK-cells & T-cells - Immune system & Transcription"	24	"Nuclear speckles"	Cytosol	"HPA052592: AB_2681877"	"unprognostic (1.21e-2)"	"unprognostic (2.47e-1)"	"unprognostic (1.67e-2)"	"unprognostic (3.72e-1)"	"unprognostic (3.99e-2)"	"unprognostic (2.42e-2)"	"unprognostic (1.37e-1)"	"unprognostic (5.52e-5)"	"unprognostic (6.58e-2)"	"unprognostic (1.12e-1)"	"unprognostic (5.08e-10)"	"unprognostic (5.93e-5)"	"unprognostic (5.26e-3)"	"unprognostic (1.12e-2)"	"unprognostic (3.69e-1)"	"unprognostic (2.07e-1)"	"unprognostic (8.95e-3)"	"unprognostic (8.21e-2)"	"unprognostic (1.26e-1)"	"unprognostic (4.74e-2)"	"unprognostic (3.26e-1)"	"unprognostic (3.13e-2)"	"unprognostic (2.97e-2)"	"unprognostic (1.04e-1)"	"unprognostic (2.62e-3)"	"unprognostic (7.18e-3)"	"unprognostic (3.37e-1)"	"unprognostic (3.08e-2)"	"unprognostic (1.79e-1)"	"unprognostic (2.24e-1)"	"unprognostic (1.11e-1)"
FCHSD2	"KIAA0769, SH3MD3"	ENSG00000137478	"FCH and double SH3 domains 2"	O94868	11	72836745-73142318	"Predicted intracellular proteins"	"Endocytosis, Protein transport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"dendritic cells: 147.2;Inhibitory neurons: 210.6;Microglial cells: 370.4;Oligodendrocyte precursor cells: 441.9;Oligodendrocytes: 184.4"	"Cell type enhanced"	"Detected in all"		"central nervous system macrophage: 1570.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Endothelial cells, Breast - Endothelial cells, Skeletal muscle - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA038545, HPA038546"	Uncertain		Approved	"Nuclear speckles,Plasma membrane,Actin filaments,Focal adhesion sites"			Yes	No			"Cluster 32: Basophils - Transcription"	"Cluster 70: Lymphoid tissue - Immune response"	"Cluster 7: Non-specific - Ribosome"	"Cluster 55: Lymphoma - Immune response"	"Cluster 76: Oligodendrocyte precursor - Unknown function"	11	"Plasma membrane, Actin filaments"	"Nuclear speckles, Focal adhesion sites"	"HPA038545: AB_2676074, HPA038546: AB_10673013"	"unprognostic (4.99e-3)"	"unprognostic (2.90e-1)"	"unprognostic (1.39e-1)"	"unprognostic (1.38e-1)"	"unprognostic (3.22e-1)"	"unprognostic (1.85e-1)"	"unprognostic (9.58e-2)"	"unprognostic (7.70e-3)"	"unprognostic (1.30e-4)"	"unprognostic (1.76e-2)"	"unprognostic (1.27e-5)"	"unprognostic (3.16e-2)"	"unprognostic (1.20e-1)"	"unprognostic (3.68e-2)"	"unprognostic (3.88e-3)"	"unprognostic (2.99e-2)"	"unprognostic (4.60e-2)"	"unprognostic (5.23e-2)"	"unprognostic (2.48e-1)"	"unprognostic (1.49e-1)"	"unprognostic (3.22e-1)"	"unprognostic (4.60e-2)"	"unprognostic (2.74e-1)"	"unprognostic (8.46e-2)"	"unprognostic (1.19e-2)"	"unprognostic (2.80e-2)"	"unprognostic (4.15e-3)"	"unprognostic (3.25e-2)"	"unprognostic (1.23e-1)"	"unprognostic (6.40e-2)"	"unprognostic (3.57e-1)"
FEV	Pet-1	ENSG00000163497	"FEV transcription factor, ETS family member"	Q99581	2	218981087-218985184	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"adrenal gland: 2.2;intestine: 4.1;pituitary gland: 2.5;prostate: 2.1;stomach 1: 3.1"	"Cell type enriched"	"Detected in some"	70	"Enteroendocrine cells: 532.6"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	8	"Pancreatic Adenocarcinoma (TCGA): 5.3;Prostate Adenocarcinoma (TCGA): 13.7;Stomach Adenocarcinoma (TCGA): 3.9"	"Group enriched"	"Detected in many"	7	"midbrain: 153.7;pons: 42.5"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	16	"Neuroblastoma: 40.7"	"Adrenal gland - Adrenal medulla cells, Pancreas - Alpha cells, Pituitary gland - Corticotropes, Prostate - Prostate glandular cells, Stomach - Gastric enteroendocrine cells"	"Region enhanced"	"Detected in single"		"midbrain: 1.9"	"Group enriched"	"Detected in some"	5	"midbrain: 8.3;pons: 4.4"	HPA067679		Supported	Supported	"Nuclear speckles"			NA	NA				"Cluster 45: Intestine - Digestion"	"Cluster 41: Monoamines - Neurotransmitter signalling"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 20: Enteroendocrine cells - Hormone signaling"		"Nuclear speckles"		"HPA067679: AB_2685884"																						"unprognostic (1.46e-3)"		"unprognostic (3.01e-1)"				"unprognostic (1.36e-1)"			
FHIP2A	"bA106M7.3, FAM160B1, KIAA1600"	ENSG00000151553	"FHF complex subunit HOOK interacting protein 2A"	Q5W0V3	10	114821744-114899832	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"bone marrow: 52.7"	"Low cell type specificity"	"Detected in many"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA043624	Uncertain		Approved	"Nuclear speckles,Cytosol"			NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 6: Bone marrow - Innate immune response"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 78: NK-cells & T-cells - Immune system & Transcription"	7	"Nuclear speckles"	Cytosol	"HPA043624: AB_10797145"	"unprognostic (2.73e-3)"	"unprognostic (2.52e-2)"	"unprognostic (6.13e-2)"	"unprognostic (6.68e-2)"	"unprognostic (1.69e-1)"	"unprognostic (2.91e-2)"	"unprognostic (1.05e-1)"	"unprognostic (1.03e-2)"	"unprognostic (1.70e-2)"	"unprognostic (1.08e-1)"	"unprognostic (1.40e-2)"	"unprognostic (9.68e-2)"	"unprognostic (2.68e-1)"	"unprognostic (4.78e-2)"	"unprognostic (7.80e-4)"	"unprognostic (1.96e-1)"	"unprognostic (2.55e-1)"	"unprognostic (3.10e-1)"	"unprognostic (4.40e-2)"	"unprognostic (1.15e-1)"	"unprognostic (7.75e-4)"	"unprognostic (2.93e-1)"	"unprognostic (4.62e-2)"	"unprognostic (1.54e-1)"	"unprognostic (1.82e-1)"	"unprognostic (3.13e-2)"	"unprognostic (2.75e-1)"	"unprognostic (6.79e-3)"	"unprognostic (1.11e-1)"	"unprognostic (3.83e-2)"	"unprognostic (1.28e-1)"
FIBP	FGFIBP	ENSG00000172500	"FGF1 intracellular binding protein"	O43427	11	65883740-65888531	"Disease related genes, Human disease related genes, Predicted intracellular proteins"			"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Late spermatids: 603.5"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids, Testis - Late spermatids, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA011729	Approved		Supported	"Nuclear speckles"			NA	NA			"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 54: Non-specific - Basic cellular processes"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 24: Non-specific - Unknown function"	"Cluster 15: Non-specific - Mixed function"	5	"Nuclear speckles"		"HPA011729: AB_1848579"	"unprognostic (3.98e-3)"	"unprognostic (3.57e-1)"	"unprognostic (1.07e-1)"	"unprognostic (1.11e-3)"	"unprognostic (9.53e-2)"	"unprognostic (3.06e-1)"	"unprognostic (2.32e-1)"	"unprognostic (1.34e-1)"	"unprognostic (1.47e-2)"	"unprognostic (6.59e-3)"	"unprognostic (1.30e-4)"	"unprognostic (8.79e-4)"	"unprognostic (5.17e-2)"	"unprognostic (4.76e-4)"	"unprognostic (2.37e-2)"	"unprognostic (1.12e-2)"	"unprognostic (1.92e-6)"	"unprognostic (3.22e-1)"	"unprognostic (2.12e-1)"	"unprognostic (4.49e-2)"	"unprognostic (1.49e-1)"	"unprognostic (1.32e-1)"	"unprognostic (6.47e-3)"	"unprognostic (9.48e-2)"	"unprognostic (7.51e-2)"	"unprognostic (4.59e-1)"	"unprognostic (2.36e-1)"	"unprognostic (6.22e-2)"	"unprognostic (1.06e-1)"	"unprognostic (2.12e-2)"	"unprognostic (1.07e-1)"
FNDC1	"bA243O10.1, dJ322A24.1, FNDC2, KIAA1866"	ENSG00000164694	"Fibronectin type III domain containing 1"	Q4ZHG4	6	159169400-159272108	"Predicted intracellular proteins, Predicted secreted proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"gallbladder: 13.7;intestine: 12.4;thyroid gland: 19.7"	"Cell type enhanced"	"Detected in some"		"Endometrial stromal cells: 4.2;Fibroblasts: 20.1;Skeletal myocytes: 5.9;Smooth muscle cells: 8.3"	"Cell type enhanced"	"Detected in some"		"ependymal cell: 62.3;hippocampal CA1-3: 71.9"	"Cancer enhanced"	"Detected in many"		"Thyroid Carcinoma (TCGA): 42.2"	"Group enriched"	"Detected in many"	6	"cerebral cortex: 11.9;hippocampal formation: 18.7"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Bile duct cancer: 12.8;Kidney cancer: 9.5;Rhabdoid: 18.7"	"Heart muscle - Fibroblasts, Liver - Hepatic stellate cells, Minor Salivary Gland - Fibroblasts, Skin - Fibroblast_1, Stomach - Fibroblasts"	"Region enhanced"	"Detected in many"		"olfactory bulb: 7.0"	"Region enhanced"	"Detected in many"		"spinal cord: 12.5"	"HPA030962, HPA030963"	Approved		Approved	"Nuclear speckles"	"Secreted to extracellular matrix"	"No annotated function"	NA	NA		8500		"Cluster 51: Thyroid gland - Unknown function"	"Cluster 29: Forebrain - Mixed function"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 53: Fibroblasts - ECM organization"		"Nuclear speckles"		"HPA030962: AB_10696212, HPA030963: AB_2673676"	"unprognostic (3.29e-3)"	"unprognostic (1.30e-1)"	"unprognostic (4.05e-1)"	"unprognostic (2.59e-2)"	"unprognostic (2.13e-2)"	"unprognostic (3.10e-2)"			"unprognostic (1.05e-1)"		"unprognostic (3.18e-1)"				"unprognostic (4.93e-2)"	"unprognostic (1.49e-2)"	"unprognostic (2.61e-2)"	"unprognostic (1.16e-1)"	"unprognostic (1.22e-1)"	"unprognostic (6.31e-2)"	"unprognostic (1.34e-4)"	"unprognostic (2.31e-2)"	"unprognostic (1.50e-3)"		"unprognostic (1.13e-1)"	"unprognostic (4.98e-3)"	"unprognostic (1.48e-1)"	"unprognostic (4.83e-3)"	"unprognostic (1.97e-1)"	"unprognostic (2.85e-1)"	"unprognostic (1.75e-1)"
FOXJ3	KIAA1041	ENSG00000198815	"Forkhead box J3"	Q9UPW0	1	42176539-42335877	"Predicted intracellular proteins, Transcription factors"	"Differentiation, Meiosis, Spermatogenesis, Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Spleen - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA067284			Approved	"Nucleoplasm,Nuclear speckles,Vesicles"			NA	NA			"Cluster 24: Non-specific - Transcription"	"Cluster 19: Non-specific - Basic cellular processes"	"Cluster 31: Non-specific - Transcription"	"Cluster 37: Non-specific - mRNA processing"	"Cluster 55: Non-specific - Transcription"		"Nucleoplasm, Nuclear speckles"	Vesicles	"HPA067284: AB_2685817"	"unprognostic (1.33e-1)"	"unprognostic (1.79e-1)"	"unprognostic (1.13e-1)"	"unprognostic (3.58e-3)"	"unprognostic (5.24e-2)"	"unprognostic (1.22e-2)"	"unprognostic (4.69e-2)"	"unprognostic (2.73e-1)"	"unprognostic (1.41e-1)"	"unprognostic (1.39e-3)"	"unprognostic (5.22e-2)"	"unprognostic (3.51e-2)"	"unprognostic (2.75e-1)"	"unprognostic (6.77e-6)"	"unprognostic (1.44e-4)"	"unprognostic (2.20e-2)"	"unprognostic (9.61e-2)"	"unprognostic (2.33e-1)"	"unprognostic (1.29e-1)"	"unprognostic (6.78e-2)"	"unprognostic (3.28e-1)"	"unprognostic (1.11e-1)"	"unprognostic (2.35e-1)"	"unprognostic (5.92e-2)"	"unprognostic (9.36e-2)"	"unprognostic (1.02e-1)"	"unprognostic (3.92e-1)"	"unprognostic (2.80e-1)"	"unprognostic (2.96e-1)"	"unprognostic (1.51e-2)"	"unprognostic (2.29e-1)"
FOXO4	"AFX1, MLLT7"	ENSG00000184481	"Forkhead box O4"	P98177	X	71095851-71103532	"Cancer-related genes, Disease related genes, Predicted intracellular proteins, RAS pathway related proteins, Transcription factors"	"Cell cycle, Differentiation, Myogenesis, Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding"	"Cancer-related genes, Proto-oncogene"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"placenta: 112.6"	"Group enriched"	"Detected in many"	16	"Cytotrophoblasts: 259.9;Syncytiotrophoblasts: 269.0"	"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in single"			"Low lineage specificity"	"Detected in single"			"Cancer enhanced"	"Detected in many"		"testis cancer: 22.8"	"Adrenal gland - Adrenal cortex cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA039560, HPA040232"	Enhanced		Supported	"Nuclear speckles,Cytosol"			NA	NA			"Cluster 21: Neutrophils - Unknown function"	"Cluster 54: Non-specific - Basic cellular processes"	"Cluster 13: Oligodendrocytes - Mixed function"	"Cluster 34: Testis cancer - Unknown function"	"Cluster 24: Cytotrophoblasts - Mitochondria"	14	"Nuclear speckles"	Cytosol	"HPA039560: AB_2676572, HPA040232: AB_2676894"	"unprognostic (1.38e-2)"	"unprognostic (8.95e-2)"	"unprognostic (6.60e-2)"	"unprognostic (1.90e-1)"	"unprognostic (2.04e-1)"	"unprognostic (7.47e-2)"	"unprognostic (9.64e-2)"	"unprognostic (9.32e-4)"	"unprognostic (7.56e-3)"	"unprognostic (9.53e-2)"	"unprognostic (9.53e-8)"	"unprognostic (1.30e-5)"	"unprognostic (4.48e-2)"	"unprognostic (1.21e-1)"	"unprognostic (2.47e-1)"	"unprognostic (4.23e-2)"	"unprognostic (4.30e-2)"	"unprognostic (2.43e-1)"	"unprognostic (6.01e-2)"	"unprognostic (5.88e-3)"	"unprognostic (2.88e-2)"	"unprognostic (7.94e-2)"	"unprognostic (9.04e-6)"	"unprognostic (8.49e-2)"	"unprognostic (6.79e-2)"	"unprognostic (2.02e-2)"	"unprognostic (3.43e-1)"	"unprognostic (2.89e-2)"	"unprognostic (1.48e-1)"	"unprognostic (2.00e-1)"	"unprognostic (1.73e-2)"
FYTTD1	"DKFZp761B1514, UIF"	ENSG00000122068	"Forty-two-three domain containing 1"	Q96QD9	3	197737179-197787596	"Predicted intracellular proteins"	"mRNA transport, Transport"	RNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"dendritic cells: 471.0"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Lung - Endothelial cells, Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA054474, HPA074880"	Enhanced		Supported	"Nucleoplasm,Nucleoli,Nuclear speckles,Cytosol"			NA	NA			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 19: Non-specific - Basic cellular processes"	"Cluster 55: Non-specific - Transcription"	"Cluster 63: Non-specific - Protein processing"	"Cluster 28: Dendritic cells - Antigen presentation"	18	"Nucleoplasm, Nuclear speckles"	"Nucleoli, Cytosol"	"HPA054474: , HPA074880: "	"unprognostic (1.07e-1)"	"unprognostic (4.84e-2)"	"unprognostic (5.40e-2)"	"unprognostic (4.66e-2)"	"unprognostic (1.27e-1)"	"unprognostic (4.28e-3)"	"unprognostic (1.98e-1)"	"unprognostic (6.61e-2)"	"unprognostic (1.07e-1)"	"unprognostic (2.77e-2)"	"unprognostic (1.40e-5)"	"unprognostic (2.93e-3)"	"unprognostic (1.85e-1)"	"unprognostic (5.25e-2)"	"unprognostic (1.29e-1)"	"unprognostic (1.45e-2)"	"unprognostic (2.64e-2)"	"unprognostic (2.07e-1)"	"unprognostic (7.09e-2)"	"unprognostic (3.09e-2)"	"unprognostic (2.43e-2)"	"unprognostic (7.06e-3)"	"unprognostic (3.15e-1)"	"unprognostic (7.30e-2)"	"unprognostic (6.98e-2)"	"unprognostic (7.50e-2)"	"unprognostic (1.09e-1)"	"unprognostic (7.70e-2)"	"unprognostic (2.55e-1)"	"unprognostic (2.83e-1)"	"unprognostic (8.78e-2)"
